sku,category_name,category_id
LGVM0030,Laundry/Ghar ki Safayi,5
LGVM0038,Laundry/Ghar ki Safayi,5
LGVM0047,Laundry/Ghar ki Safayi,5
CCVL0051,Chai aur Coffee,20
CCVL0013,Chai aur Coffee,20
NSYS0142,"Noodles, Sauces aur Meetha",61
NSYS0139,"Noodles, Sauces aur Meetha",61
NSYS0141,"Noodles, Sauces aur Meetha",61
NSYS0140,"Noodles, Sauces aur Meetha",61
CSNSKO0151,U Mart,219
BSGW0137,Bachat Bazar,31
ANMG0177,Anaaj Bazaar,124
ANAI0038,Bachat Bazar,31
OGCN0043,Bachat Bazar,31
OGSS0040,Bachat Bazar,31
OGSS0082,Bachat Bazar,31
NSKO0153,"Noodles, Sauces aur Meetha",61
BEGY0025,Beauty,6
PCCG0153,Personal Care,29
SNTL0397-24,Snacks,23
SNTL0398-48,Snacks,23
SNTL0399-24,Snacks,23
BSLC0134,Bachat Bazar,31
ANGU0095,Bachat Bazar,31
DDOS0013-12,Bachat Bazar,31
BNL00115,Bachat Bazar,31
SNLY0415,Snacks,23
CD7P0001,Mashroobaat,67
LGBE0099,Laundry/Ghar ki Safayi,5
SNCE0405,Snacks,23
SNCE0386,Snacks,23
CDCA0088,Mashroobaat,67
CDCA0085,Mashroobaat,67
CDCA0089,Mashroobaat,67
DDDO0027,Dairy,14
CDMD0024,Mashroobaat,67
BEGP0011,Beauty,6
NSKO0034,"Noodles, Sauces aur Meetha",61
SNFL0309,Snacks,23
CDCA0085-6,Bachat Bazar,31
CDFA0093,Bachat Bazar,31
BSNO0114,Bachat Bazar,31
BSNO0090,Bachat Bazar,31
BSNO0116,Bachat Bazar,31
BSNO0139,Bachat Bazar,31
BSNO0107,Bachat Bazar,31
BSNO0065,Bachat Bazar,31
ANAD0049,Bachat Bazar,31
ANBP0169,Bachat Bazar,31
OGDA0072,Bachat Bazar,31
OGML0084-5,Bachat Bazar,31
OGML0083-5,Bachat Bazar,31
ANMG0194,Bachat Bazar,31
OGSS0077,Bachat Bazar,31
SNCB0314,Snacks,23
SNPS0312,Snacks,23
SNSY0303,Snacks,23
SNLY0388,Snacks,23
DDMK0036,Dairy,14
CDMA0019,Mashroobaat,67
CDMA0063,Mashroobaat,67
CDMD0021,Mashroobaat,67
CDMD0071,Mashroobaat,67
BMNL0111,Masala,58
CDMO0132,Mashroobaat,67
CCNC0081,Chai aur Coffee,20
CCNC0078,Chai aur Coffee,20
DDNP0069,Dairy,14
DDNP0064,Dairy,14
DDOS0021,Dairy,14
DDOS0023,Dairy,14
CDPA0027,Mashroobaat,67
CDPA0009,Mashroobaat,67
CDPI0072,Mashroobaat,67
CDPI0077,Mashroobaat,67
CDPI0078,Mashroobaat,67
CDPI0115,Mashroobaat,67
CCQI0075,Chai aur Coffee,20
SSSD0218,Sabun Shampoo,7
BMSN0044,Masala,58
BMSN0114,Masala,58
BMSN0058,Masala,58
CDSL0005,Mashroobaat,67
CDSL0067,Mashroobaat,67
SNSO0437,Snacks,23
CDSR0101,Mashroobaat,67
CDSR0133,Mashroobaat,67
CDSG0066,Mashroobaat,67
CDSG0073,Mashroobaat,67
CDSG0068,Mashroobaat,67
LGST0173,Laundry/Ghar ki Safayi,5
ANSU0174,Anaaj,17
CCTL0072,Chai aur Coffee,20
CCVL0061,Chai aur Coffee,20
SNWV0384,Snacks,23
CDCA0085,Bachat Bazar,31
DDPA0042-12,Dairy,14
DDPA0042,Dairy,14
DDPA0037-2,Dairy,14
DDPA0067-24,Dairy,14
DDPA0067-4,Dairy,14
DDPA0068-2,Dairy,14
CCTL0054FOC,Bachat Bazar,31
CCTL0054FOC,Chai aur Coffee,20
ANMG0190,Anaaj,17
ANMG0179,Anaaj,17
DEALNSSN0073,1 Rupee,220
CDFA0049-2,Mashroobaat,67
CDSR0008-2,Mashroobaat,67
DEALBMSN0094,Flash Deal,222
DEALCDSR0102,Flash Deal,222
DEALSSLX0097,1 Rupee,220
DEALGSMN0082,1 Rupee,220
MALC0098,Delist - Fashion & Electronics,253
DEALLGVM0038,1 Rupee,220
DEALSNFP0476,1 Rupee,220
DEALNSKO0050,1 Rupee,220
